Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2025-08-29T15:18:00.000Z,"6,456.43","6,457.21","6,454.64","6,454.93",-0.0239,-0.0243,41
2025-08-29T15:19:00.000Z,"6,454.96","6,456.54","6,454.54","6,456.27",0.0208,0.0204,37
2025-08-29T15:20:00.000Z,"6,456.09","6,457.00","6,455.96","6,456.82",0.0085,0.0081,43
2025-08-29T15:21:00.000Z,"6,456.83","6,456.83","6,454.83","6,455.28",-0.0239,-0.0243,45
2025-08-29T15:22:00.000Z,"6,455.32","6,457.83","6,455.13","6,457.83",0.0395,0.0391,41
2025-08-29T15:23:00.000Z,"6,457.84","6,458.10","6,456.89","6,457.07",-0.0118,-0.0122,39
2025-08-29T15:24:00.000Z,"6,457.11","6,458.38","6,457.11","6,458.15",0.0167,0.0163,36
2025-08-29T15:25:00.000Z,"6,458.31","6,458.31","6,457.17","6,457.34",-0.0125,-0.0129,42
2025-08-29T15:26:00.000Z,"6,457.29","6,460.30","6,457.29","6,460.20",0.0443,0.0439,46
2025-08-29T15:27:00.000Z,"6,460.17","6,460.17","6,457.86","6,457.93",-0.0351,-0.0355,43
2025-08-29T15:28:00.000Z,"6,458.01","6,458.92","6,458.01","6,458.50",0.0088,0.0084,39
2025-08-29T15:29:00.000Z,"6,458.54","6,458.54","6,456.38","6,456.99",-0.0234,-0.0238,44
2025-08-29T15:30:00.000Z,"6,457.03","6,457.97","6,454.94","6,454.95",-0.0316,-0.032,52
2025-08-29T15:31:00.000Z,"6,454.94","6,456.31","6,453.61","6,453.62",-0.0206,-0.021,50
2025-08-29T15:32:00.000Z,"6,453.77","6,454.61","6,453.48","6,453.72",0.0015,0.0011,34
2025-08-29T15:33:00.000Z,"6,453.78","6,455.58","6,453.37","6,454.87",0.0178,0.0174,46
2025-08-29T15:34:00.000Z,"6,454.74","6,455.50","6,453.11","6,453.32",-0.024,-0.0244,43
2025-08-29T15:35:00.000Z,"6,453.52","6,454.46","6,453.26","6,453.98",0.0102,0.0098,50
2025-08-29T15:36:00.000Z,"6,454.09","6,456.18","6,454.00","6,456.01",0.0315,0.031,45
2025-08-29T15:37:00.000Z,"6,455.90","6,457.71","6,455.73","6,457.23",0.0189,0.0185,34
2025-08-29T15:38:00.000Z,"6,457.21","6,457.37","6,456.62","6,456.74",-0.0076,-0.008,41
2025-08-29T15:39:00.000Z,"6,456.70","6,456.70","6,455.30","6,455.92",-0.0127,-0.0131,38
2025-08-29T15:40:00.000Z,"6,455.82","6,456.76","6,454.32","6,454.47",-0.0225,-0.0229,42
2025-08-29T15:41:00.000Z,"6,454.45","6,456.78","6,454.25","6,456.70",0.0345,0.0341,36
2025-08-29T15:42:00.000Z,"6,456.86","6,456.86","6,455.20","6,455.52",-0.0183,-0.0187,30
2025-08-29T15:43:00.000Z,"6,455.44","6,456.12","6,454.50","6,454.71",-0.0125,-0.013,38
2025-08-29T15:44:00.000Z,"6,454.69","6,455.55","6,454.57","6,454.64",-0.0011,-0.0015,33
